"year","experiment","source","rep","date","time","location","habitat","taxa","species","initials","doi"
2021,"bioblitz","full",22,2021-10-13,10:30:00,"Bratty park","tree","Vertebrate","Spizella passerina","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",23,2021-10-13,10:38:00,"Bratty park","tree","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",24,2021-10-13,10:40:00,"Bratty park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",25,2021-10-13,10:46:00,"Bratty park","tree","Vertebrate","Corvus brachyrhynchos","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",26,2021-10-13,10:53:00,"Bratty park","grass","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",27,2021-10-13,11:09:00,"Bratty park","grass","Invertebrate","Mythimna unipuncta","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",28,2021-10-13,11:23:00,"Bratty park","grass","Invertebrate","Nomophila nearctica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",15,2021-10-11,12:40:00,"Dan Iannuzi park","water","Vertebrate","Phalacrocorax auritus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",16,2021-10-11,12:50:00,"Dan Iannuzi park","woodlot","Invertebrate","Lucilia sericata","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",17,2021-10-11,12:58:00,"Dan Iannuzi park","woodlot","Invertebrate","Lucilia sericata","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",18,2021-10-11,13:05:00,"Dan Iannuzi park","tree","Vertebrate","Sturnus vulgaris","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",19,2021-10-11,13:16:00,"Dan Iannuzi park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",20,2021-10-11,13:22:00,"Dan Iannuzi park","water","Vertebrate","Anas platyrhynchos","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",21,2021-10-11,13:47:00,"Dan Iannuzi park","grass","Invertebrate","Vespula germanica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",29,2021-10-13,12:40:00,"Derrydown park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",30,2021-10-13,12:46:00,"Derrydown park","tree","Vertebrate","Mimus polyglottos","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",31,2021-10-13,12:52:00,"Derrydown park","tree","Vertebrate","Passer domesticus","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",32,2021-10-13,13:03:00,"Derrydown park","grass","Invertebrate","Hulecoeteomyia japonica","DM","10.6084/m9.figshare.16800004"
2021,"bioblitz","full",33,2021-10-13,13:05:00,"Derrydown park","woodlot","Vertebrate","Sciurus carolinensis","DM","10.6084/m9.figshare.16800004"
