year,experiment,source,rep,date,location,species,frequency,behaviour,inititals,citation_DOI
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,3,flying,RD,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,4,flying,RD,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,1,perching,RD,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/16/2020,High Park,Aix spinosa,4,swimming,AB,https://doi.org/10.6084/m9.figshare.13126829.v1
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,4,flying,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,6,flying,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,9,flying,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,10,flying,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,2,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,2,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,3,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,3,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,3,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,4,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Vaughan,Anas platyrhynchos,5,inactive,TA,https://doi.org/10.6084/m9.figshare.13107569.v4
2020,balcony birdwatching,full,1,10/9/2020,Mackenzie Glen Park,Anas platyrhynchos,8,inactive,AG,https://doi.org/10.6084/m9.figshare.13125698.v1
2020,balcony birdwatching,full,1,10/8/2020,Fred Young Park,Anas platyrhynchos,2,swimming,RD,https://doi.org/10.6084/m9.figshare.13107569.v4
