year,experiment,source,rep,date,time,location,habitat,taxa,species,initials
2020,bioblitz,full,1,10/11/2020,14:46,Frontyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,1,10/10/2020,6:33,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,1,9/25/2020,12:07,Backyard,tree,vertebrate,Dicaeum concolor,SN
2020,bioblitz,pilot,1,9/25/2020,12:32,Backyard,grass,invertebrate,Heteropoda venatoria,SN
2020,bioblitz,pilot,1,9/25/2020,12:05,Backyard,grass,vertebrate,Mus musculus,SN
2020,bioblitz,pilot,1,9/25/2020,11:34,Backyard,bush,invertebrate,Orthetrum sabina,SN
2020,bioblitz,pilot,1,9/25/2020,12:05,Backyard,bush,invertebrate,Orthetrum sabina,SN
2020,bioblitz,pilot,1,9/27/2020,19:15,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,pilot,1,9/24/2020,15:11,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,1,9/25/2020,12:02,Backyard,tree,invertebrate,Triatoma rubrofasciata,SN
2020,bioblitz,full,2,10/10/2020,6:39,Woodward Woodlot,woodlot,vertebrate,Passer domesticus,JT
2020,bioblitz,full,2,10/11/2020,14:48,Frontyard,tree,vertebrate,Poecile atricapillus,MC
2020,bioblitz,pilot,2,9/27/2020,19:21,Finch Hydro Corridor Recreational Trail,flying,vertebrate,Aves ssp,MC
2020,bioblitz,pilot,2,9/25/2020,12:09,Backyard,tree,invertebrate,Nyctyornis athertoni,SN
2020,bioblitz,pilot,2,9/25/2020,13:02,Backyard,tree,invertebrate,Nyctyornis athertoni,SN
2020,bioblitz,pilot,2,9/24/2020,15:14,Woodward Woodlot,woodlot,invertebrate,Pieris virginiensis,JT
2020,bioblitz,full,3,10/11/2020,14:51,Frontyard,ground,vertebrate,Tamias striatus,MC
2020,bioblitz,full,3,10/10/2020,6:42,Woodward Woodlot,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,pilot,3,9/24/2020,15:17,Woodward Woodlot,woodlot,invertebrate,Camponotus pennsylvanicus,JT
2020,bioblitz,pilot,3,9/27/2020,19:22,Finch Hydro Corridor Recreational Trail,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,pilot,3,9/25/2020,11:30,Backyard,bush,invertebrate,Geometridae ssp,SN
2020,bioblitz,pilot,3,9/25/2020,12:02,Backyard,bush,invertebrate,Geometridae ssp,SN
2020,bioblitz,pilot,3,9/25/2020,12:35,Backyard,bush,invertebrate,Geometridae ssp,SN
2020,bioblitz,pilot,3,9/25/2020,12:35,Backyard,bush,invertebrate,Polistes apachus,SN
2020,bioblitz,pilot,3,9/25/2020,12:39,Backyard,bush,invertebrate,Polistes apachus,SN
2020,bioblitz,pilot,3,9/25/2020,12:47,Backyard,bush,invertebrate,Polistes apachus,SN
2020,bioblitz,full,4,10/11/2020,14:53,Frontyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,4,10/10/2020,6:54,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,pilot,4,9/27/2020,19:25,Finch Hydro Corridor Recreational Trail,grass,invertebrate,Pieris rapae,MC
2020,bioblitz,pilot,4,9/24/2020,15:21,Woodward Woodlot,woodlot,invertebrate,Tipula oleracea,JT
2020,bioblitz,full,5,10/10/2020,7:00,Woodward Woodlot,woodlot,vertebrate,Procyon lotor,JT
2020,bioblitz,full,5,10/11/2020,14:53,Frontyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,pilot,5,9/27/2020,19:30,Finch Hydro Corridor Recreational Trail,flying,vertebrate,Myotis lucifugus,MC
2020,bioblitz,pilot,5,9/24/2020,15:25,Woodward Woodlot,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,full,6,10/10/2020,7:02,Woodward Woodlot,woodlot,vertebrate,Buteo jamaicensis,JT
2020,bioblitz,full,6,10/11/2020,14:56,Frontyard,flying,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,pilot,6,9/24/2020,15:31,Sprucedale Pond,water,vertebrate,Branta canadensis,JT
2020,bioblitz,pilot,6,9/27/2020,19:30,Finch Hydro Corridor Recreational Trail,flying,vertebrate,Myotis lucifugus,MC
2020,bioblitz,full,7,10/11/2020,14:57,Frontyard,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,full,7,10/10/2020,7:07,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,7,9/24/2020,15:35,Sprucedale Pond,water,invertebrate,Apis mellifera,JT
2020,bioblitz,pilot,7,9/27/2020,19:30,Finch Hydro Corridor Recreational Trail,flying,vertebrate,Myotis lucifugus,MC
2020,bioblitz,full,8,10/10/2020,7:13,Woodward Woodlot,woodlot,vertebrate,Corvus brachyrhynchos,JT
2020,bioblitz,full,8,10/11/2020,14:57,Frontyard,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,pilot,8,9/24/2020,15:36,Sprucedale Pond,water,vertebrate,Anas platyrhynchos,JT
2020,bioblitz,pilot,8,9/27/2020,19:33,Black Creek Parkland,flying,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,9,10/10/2020,7:18,Woodward Woodlot,woodlot,invertebrate,Araneae ssp,JT
2020,bioblitz,full,9,10/11/2020,15:03,Backyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,pilot,9,9/27/2020,19:35,Black Creek Parkland,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,pilot,9,9/24/2020,15:42,Dempsey Park,woodlot,vertebrate,Passer domesticus,JT
2020,bioblitz,full,10,10/11/2020,15:07,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,10,10/10/2020,7:24,Woodward Woodlot,woodlot,vertebrate,Passer domesticus,JT
2020,bioblitz,pilot,10,9/27/2020,19:39,Black Creek Parkland,branch,vertebrate,Turdus migratorius,MC
2020,bioblitz,pilot,10,9/24/2020,15:47,Dempsey Park,woodlot,invertebrate,Vespula alascensis,JT
2020,bioblitz,full,11,10/11/2020,15:07,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,11,10/10/2020,7:31,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,11,9/27/2020,19:45,Black Creek Parkland,ground,invertebrate,Coleoptera ssp,MC
2020,bioblitz,pilot,11,9/24/2020,15:49,Dempsey Park,woodlot,vertebrate,Cyanocitta cristata,JT
2020,bioblitz,full,12,10/11/2020,15:07,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,12,10/10/2020,13:31,Woodward Woodlot,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,pilot,12,9/28/2020,19:50,Black Creek Parkland,arm,invertebrate,Diptera ssp,MC
2020,bioblitz,pilot,12,9/24/2020,15:51,Dempsey Park,woodlot,vertebrate,Sylvilagus floridanus,JT
2020,bioblitz,full,13,10/11/2020,15:14,Backyard,flying,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,13,10/10/2020,13:36,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,13,9/28/2020,1:50,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,14,10/11/2020,15:16,Backyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,14,10/10/2020,13:38,Woodward Woodlot,woodlot,vertebrate,Turdus migratorius,JT
2020,bioblitz,pilot,14,9/28/2020,1:54,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Mephitis mephitis,MC
2020,bioblitz,full,15,10/11/2020,15:21,Backyard,tree,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,15,10/10/2020,13:43,Woodward Woodlot,woodlot,invertebrate,Pieris virginiensis,JT
2020,bioblitz,pilot,15,9/28/2020,1:57,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,16,10/10/2020,13:45,Woodward Woodlot,woodlot,invertebrate,Dendroctonus ponderosae,JT
2020,bioblitz,full,16,10/11/2020,15:21,Backyard,tree,vertebrate,Melospiza melodia,MC
2020,bioblitz,pilot,16,9/28/2020,1:57,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,17,10/11/2020,15:23,Backyard,flying,invertebrate,Diptera ssp,MC
2020,bioblitz,full,17,10/10/2020,13:49,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,pilot,17,9/28/2020,2:00,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Procyon lotor,MC
2020,bioblitz,full,18,10/11/2020,15:32,Backyard,ground,vertebrate,Odocoileus virginianus,MC
2020,bioblitz,full,18,10/10/2020,13:52,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,18,9/28/2020,2:03,Finch Hydro Corridor Recreational Trail,flying,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,full,19,10/10/2020,13:58,Woodward Woodlot,woodlot,vertebrate,Corvus brachyrhynchos,JT
2020,bioblitz,full,19,10/11/2020,15:39,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,pilot,19,9/28/2020,2:07,Finch Hydro Corridor Recreational Trail,flying,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,full,20,10/10/2020,14:07,Woodward Woodlot,woodlot,vertebrate,Cyanocitta cristata,JT
2020,bioblitz,full,20,10/11/2020,15:40,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,pilot,20,9/28/2020,2:13,Black Creek Parkland,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,21,10/11/2020,15:43,Frontyard,power line,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,21,10/10/2020,14:16,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,21,9/28/2020,2:15,Black Creek Parkland,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,22,10/10/2020,14:19,Woodward Woodlot,woodlot,invertebrate,Malacosoma americanum,JT
2020,bioblitz,full,22,10/12/2020,15:05,Frontyard,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,pilot,22,9/28/2020,2:21,Black Creek Parkland,ground,vertebrate,Sylvilagus floridanus,MC
2020,bioblitz,full,23,10/10/2020,14:21,Woodward Woodlot,woodlot,invertebrate,Macaria ssp,JT
2020,bioblitz,full,23,10/12/2020,15:06,Frontyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,pilot,23,9/28/2020,2:23,Black Creek Parkland,branch,invertebrate,Lepidoptera ssp,MC
2020,bioblitz,full,24,10/12/2020,15:08,Frontyard,flying,vertebrate,Larinae ssp,MC
2020,bioblitz,full,24,10/10/2020,14:27,Woodward Woodlot,woodlot,vertebrate,Sciurus niger,JT
2020,bioblitz,pilot,24,9/28/2020,2:27,Black Creek Parkland,ground,vertebrate,Mephitis mephitis,MC
2020,bioblitz,full,25,10/12/2020,15:11,Frontyard,power line,vertebrate,Corvus brachyrhynchos,MC
2020,bioblitz,full,25,10/10/2020,20:34,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,pilot,25,9/28/2020,2:37,Finch Hydro Corridor Recreational Trail,ground,vertebrate,Procyon lotor,MC
2020,bioblitz,full,26,10/10/2020,20:39,Woodward Woodlot,woodlot,invertebrate,Culicidae ssp,JT
2020,bioblitz,full,26,10/12/2020,15:12,Frontyard,ground,invertebrate,Grylloidea ssp,MC
2020,bioblitz,pilot,26,9/28/2020,9:03,Finch Hydro Corridor Recreational Trail,ground,invertebrate,Gastropoda ssp,MC
2020,bioblitz,full,27,10/12/2020,15:15,Frontyard,ground,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,27,10/10/2020,20:43,Woodward Woodlot,woodlot,vertebrate,Sciurus carolinensis,JT
2020,bioblitz,pilot,27,9/28/2020,9:06,Finch Hydro Corridor Recreational Trail,power line,vertebrate,Columba livia,MC
2020,bioblitz,full,28,10/12/2020,15:18,Backyard,bush,vertebrate,Melospiza melodia,MC
2020,bioblitz,full,28,10/10/2020,20:47,Woodward Woodlot,woodlot,invertebrate,Tipulidae ssp,JT
2020,bioblitz,pilot,28,9/28/2020,9:07,Finch Hydro Corridor Recreational Trail,tree,vertebrate,Sciurus carolinensis,MC
2020,bioblitz,full,29,10/12/2020,15:18,Backyard,bush,vertebrate,Melospiza melodia,MC
