year,experiment,source,rep,date,location,species,frequency,behaviour,inititals
2020,balcony birdwatching,full,1,10/13/2020,Cityview pond,Branta canadensis,28,swimming,EW
2020,balcony birdwatching,full,1,9/25/2020,Bellchase Lake,Branta canadensis,7,swimming,NJ
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Anas platyrhynchos,2,swimming,RD
2020,balcony birdwatching,full,1,10/16/2020,High Park,Aix spinosa,4,swimming,AB
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Passer domesticus,7,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Molothrus ater,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/08/2020,Fred Young Park,Molothrus ater,1,perching,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Poecile atricapillus,7,perching,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Icterus galbula,1,perching,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/09/2020,Holditch Street,Passer domesticus,2,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Poecile atricapillus,2,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Passer domesticus,2,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Cyanocitta cristata,3,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Passer domesticus,1,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Poecile atricapillus,1,perching,RD
2020,balcony birdwatching,full,1,10/12/2020,Holditch Street,Turdus migratorius,1,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Poecile atricapillus,3,perching,RD
2020,balcony birdwatching,full,1,10/13/2020,Holditch Street,Agelaius phoeniceus,1,perching,RD
