year,experiment,source,rep,date,location,species_richness,total_cover,inititals
2020,solo survey,full,1,9/23/2020,Taylor Creek Park,3,80,AA
2020,solo survey,full,2,9/23/2020,Taylor Creek Park,4,80,AA
2020,solo survey,full,3,9/23/2020,Taylor Creek Park,3,70,AA
2020,solo survey,full,4,9/23/2020,Taylor Creek Park,3,30,AA
2020,solo survey,full,5,9/23/2020,Taylor Creek Park,2,90,AA
2020,solo survey,full,6,9/23/2020,Taylor Creek Park,4,80,AA
2020,solo survey,full,7,9/23/2020,Taylor Creek Park,3,60,AA
2020,solo survey,full,8,9/23/2020,Taylor Creek Park,4,100,AA
2020,solo survey,full,9,9/23/2020,Taylor Creek Park,3,90,AA
2020,solo survey,full,10,9/23/2020,Taylor Creek Park,5,100,AA
2020,solo survey,full,11,9/23/2020,Taylor Creek Park,4,70,AA
2020,solo survey,full,12,9/23/2020,Taylor Creek Park,5,100,AA
2020,solo survey,full,13,9/23/2020,Taylor Creek Park,4,90,AA
2020,solo survey,full,14,9/23/2020,Taylor Creek Park,4,60,AA
2020,solo survey,full,15,9/23/2020,Taylor Creek Park,4,70,AA
2020,solo survey,full,16,9/24/2020,Taylor Creek Park,4,90,AA
2020,solo survey,full,17,9/24/2020,Taylor Creek Park,3,70,AA
2020,solo survey,full,18,9/24/2020,Taylor Creek Park,5,90,AA
2020,solo survey,full,19,9/24/2020,Taylor Creek Park,4,70,AA
2020,solo survey,full,20,9/24/2020,Taylor Creek Park,3,70,AA
2020,solo survey,full,21,9/24/2020,Taylor Creek Park,4,80,AA
2020,solo survey,full,22,9/24/2020,Taylor Creek Park,3,60,AA
2020,solo survey,full,23,9/24/2020,Taylor Creek Park,5,70,AA
2020,solo survey,full,24,9/24/2020,Taylor Creek Park,4,50,AA
2020,solo survey,full,25,9/24/2020,Taylor Creek Park,4,60,AA
2020,solo survey,full,26,9/24/2020,Taylor Creek Park,3,60,AA
2020,solo survey,full,27,9/24/2020,Taylor Creek Park,4,80,AA
2020,solo survey,full,28,9/24/2020,Taylor Creek Park,3,70,AA
2020,solo survey,full,29,9/24/2020,Taylor Creek Park,2,55,AA
2020,solo survey,full,30,9/24/2020,Taylor Creek Park,3,60,AA
2020,solo survey,full,1,10/04/2020,High Park: Hillside Gardens,15,35,HD
2020,solo survey,full,2,10/04/2020,High Park: Hiking Trail,33,17,HD
2020,solo survey,full,3,10/04/2020,High Park: Hillside Gardens,22,30,HD
2020,solo survey,full,4,10/04/2020,High Park: Hiking Trail,40,12,HD
2020,solo survey,full,5,10/05/2020,High Park: Hillside Gardens,9,45,HD
2020,solo survey,full,6,10/05/2020,High Park: Hiking Trail,37,9,HD
2020,solo survey,full,7,10/06/2020,High Park: Hillside Gardens,8,40,HD
2020,solo survey,full,8,10/06/2020,High Park: Hiking Trail,25,10,HD
2020,solo survey,full,9,10/07/2020,High Park: Hillside Gardens,10,33,HD
2020,solo survey,full,10,10/07/2020,High Park: Hiking Trail,24,11,HD
2020,solo survey,full,11,10/08/2020,High Park: Hillside Gardens,7,42,HD
2020,solo survey,full,12,10/08/2020,High Park: Hiking Trail,29,7,HD
2020,solo survey,full,13,10/10/2020,High Park: Hillside Gardens,12,31,HD
2020,solo survey,full,14,10/10/2020,High Park: Hiking Trail,28,9,HD
2020,solo survey,full,15,10/11/2020,High Park: Hillside Gardens,13,42,HD
2020,solo survey,full,16,10/11/2020,High Park: Hiking Trail,40,7,HD
2020,solo survey,full,17,10/11/2020,High Park: Hillside Gardens,18,32,HD
2020,solo survey,full,18,10/11/2020,High Park: Hiking Trail,26,5,HD
2020,solo survey,full,19,10/12/2020,High Park: Hillside Gardens,14,43,HD
2020,solo survey,full,20,10/12/2020,High Park: Hiking Trail,36,8,HD
2020,solo survey,pilot,1,09/15/2020,Firgrove Park,5,80,FO
2020,solo survey,pilot,2,09/15/2020,Firgrove Park,4,85,FO
2020,solo survey,pilot,3,09/15/2020,Firgrove Park,2,98,FO
2020,solo survey,pilot,4,09/15/2020,Firgrove Park,3,90,FO
2020,solo survey,pilot,5,09/15/2020,Firgrove Park,3,85,FO
2020,solo survey,pilot,6,09/15/2020,Firgrove Park,4,100,FO
2020,solo survey,pilot,7,09/15/2020,Firgrove Park,3,90,FO
2020,solo survey,pilot,8,09/15/2020,Firgrove Park,3,95,FO
2020,solo survey,pilot,9,09/15/2020,Firgrove Park,4,95,FO
2020,solo survey,pilot,10,09/15/2020,Firgrove Park,3,90,FO
2020,solo survey,pilot,11,09/15/2020,Firgrove Park,3,75,FO
2020,solo survey,pilot,12,09/15/2020,Firgrove Park,4,80,FO
2020,solo survey,pilot,13,09/15/2020,Firgrove Park,3,90,FO
2020,solo survey,pilot,14,09/15/2020,Firgrove Park,2,90,FO
2020,solo survey,pilot,15,09/15/2020,Firgrove Park,4,90,FO
2020,solo survey,pilot,16,09/15/2020,Firgrove Park,3,70,FO
2020,solo survey,pilot,17,09/15/2020,Firgrove Park,3,75,FO
2020,solo survey,pilot,18,09/15/2020,Firgrove Park,4,70,FO
2020,solo survey,pilot,19,09/15/2020,Firgrove Park,4,65,FO
2020,solo survey,pilot,20,09/15/2020,Firgrove Park,5,65,FO
2020,solo survey,pilot,21,09/15/2020,Firgrove Park,3,50,FO
2020,solo survey,pilot,22,09/15/2020,Firgrove Park,4,80,FO
2020,solo survey,pilot,23,09/15/2020,Firgrove Park,4,70,FO
